product_id,product_name,category,brand,platform,baseline_price_90d,mrp_inflation_ratio,discount_permanence_score,pre_sale_spike,price_volatility,mrp_volatility,fraud_verdict
32,Nivia_Cricket Bat_32,Sports,Nivia,amazon,2622.645,1.2151,0.6667,0.0,0.0637,0.5032,Suspicious
33,Philips_Chair_33,Home,Philips,amazon,2425.465,1.2484,0.875,0.0,0.0311,0.3767,Suspicious
34,LG_Headphones_34,Electronics,LG,amazon,3958.75,5.0934,1.0,0.0,0.0471,0.5844,Fake
35,SG_Football_35,Sports,SG,amazon,4373.18,1.1845,0.8571,0.0,0.024,0.4657,Suspicious
36,Sony_Smartphone_36,Electronics,Sony,amazon,3027.335,1.2311,0.9118,0.0,0.0612,0.4678,Suspicious
37,Nike_T-Shirt_37,Fashion,Nike,amazon,3723.405,3.4953,1.0,0.0,0.0297,0.2669,Suspicious
38,Philips_Mixer_38,Home,Philips,amazon,5020.605,1.6107,0.9375,0.0,0.0466,0.3184,Suspicious
39,Nivia_Football_39,Sports,Nivia,amazon,897.0,1.084,0.2821,0.0,0.0252,0.4806,Genuine
40,Prestige_Mixer_40,Home,Prestige,amazon,3112.83,2.5467,1.0,0.0,0.02,0.3113,Fake
41,Nike_Jeans_41,Fashion,Nike,amazon,3343.9350000000004,2.2738,1.0,0.0,0.0407,0.3459,Fake
42,Sony_Smartphone_42,Electronics,Sony,amazon,2232.3,1.1637,0.3939,0.0,0.0335,0.3387,Genuine
43,Adidas_Shoes_43,Fashion,Adidas,amazon,653.525,2.1091,1.0,0.0,0.0143,0.2599,Suspicious
44,LG_Smartphone_44,Electronics,LG,amazon,1979.75,2.5558,0.8649,0.0,0.0191,0.5002,Fake
45,Lakme_Lipstick_45,Beauty,Lakme,amazon,4109.145,1.5112,0.75,0.0,0.0152,0.4177,Suspicious
46,Adidas_T-Shirt_46,Fashion,Adidas,amazon,308.79,1.8243,1.0,0.0,0.0195,0.3399,Suspicious
47,Prestige_Chair_47,Home,Prestige,amazon,1632.98,1.1914,0.4,0.0,0.0344,0.3927,Genuine
48,Lakme_Facewash_48,Beauty,Lakme,amazon,3343.88,1.2805,0.4595,0.0,0.0712,0.4811,Genuine
49,Nike_T-Shirt_49,Fashion,Nike,amazon,2266.66,1.1216,0.1176,0.0,0.0265,0.2554,Genuine
50,Maybelline_Perfume_50,Beauty,Maybelline,amazon,1163.365,2.7613,0.9444,0.0,0.0372,0.2801,Suspicious
51,Apple_Laptop_51,Electronics,Apple,amazon,1784.08,1.1208,0.6,0.0,0.014,0.4639,Genuine
52,Maybelline_Perfume_52,Beauty,Maybelline,amazon,3306.68,1.1772,0.4444,0.0,0.0419,0.3437,Genuine
53,Samsung_Laptop_53,Electronics,Samsung,amazon,3120.22,2.0511,0.6129,0.0,0.0193,0.5641,Fake
54,Nivia_Dumbbells_54,Sports,Nivia,amazon,1773.4850000000001,1.1467,0.0385,0.0,0.0552,0.2602,Genuine
55,Philips_Cookware_55,Home,Philips,amazon,2486.35,1.1999,0.4595,0.0,0.0203,0.4563,Genuine
56,Nike_Shoes_56,Fashion,Nike,amazon,2319.16,2.1206,1.0,0.0,0.0667,0.3095,Fake
57,Nike_Jacket_57,Fashion,Nike,amazon,1404.21,2.1653,1.0,0.0,0.0383,0.3505,Fake
58,Lakme_Lipstick_58,Beauty,Lakme,amazon,1329.5700000000002,1.3662,0.8571,0.0,0.0173,0.3591,Suspicious
59,SG_Football_59,Sports,SG,amazon,4449.99,1.19,0.6429,0.0,0.0261,0.4754,Genuine
60,Prestige_Chair_60,Home,Prestige,amazon,4234.61,1.5286,1.0,0.0,0.0184,0.2323,Suspicious
61,Sony_Headphones_61,Electronics,Sony,amazon,375.73,1.4117,0.92,0.0,0.0408,0.4111,Suspicious
62,Prestige_Cookware_62,Home,Prestige,amazon,2302.45,1.2364,0.2,0.0,0.0471,0.3745,Genuine
63,Puma_T-Shirt_63,Fashion,Puma,amazon,2226.33,1.442,1.0,0.0,0.0584,0.2943,Genuine
64,SG_Cricket Bat_64,Sports,SG,amazon,3842.56,1.3074,0.7097,0.0,0.0404,0.5596,Suspicious
65,Lakme_Lipstick_65,Beauty,Lakme,amazon,871.8199999999999,1.4551,0.9444,0.0,0.0253,0.4553,Suspicious
66,Prestige_Cookware_66,Home,Prestige,amazon,3708.3599999999997,1.1751,0.7083,0.0,0.0161,0.2812,Genuine
67,Nivia_Dumbbells_67,Sports,Nivia,amazon,2406.58,1.0858,0.0769,0.0,0.0274,0.0738,Genuine
68,Prestige_Table_68,Home,Prestige,amazon,3706.24,1.2467,0.9677,0.0,0.0209,0.4402,Suspicious
69,SG_Cricket Bat_69,Sports,SG,amazon,5154.0,1.2973,0.9286,0.0,0.0226,0.3947,Suspicious
70,Sony_Smartwatch_70,Electronics,Sony,amazon,3483.45,1.0962,0.7857,0.0,0.0243,0.4493,Genuine
71,Maybelline_Lipstick_71,Beauty,Maybelline,amazon,3649.14,1.0789,0.5484,0.0,0.0338,0.2921,Genuine
72,Lakme_Perfume_72,Beauty,Lakme,amazon,3371.84,1.3721,0.8261,0.0,0.023,0.5392,Suspicious
73,Adidas_Jeans_73,Fashion,Adidas,amazon,3094.29,2.4774,1.0,0.0,0.0219,0.2438,Suspicious
74,Prestige_Table_74,Home,Prestige,amazon,845.97,1.184,0.7368,0.0,0.0421,0.2582,Genuine
75,Prestige_Chair_75,Home,Prestige,amazon,3448.3199999999997,1.1241,0.9167,0.0,0.0187,0.2982,Genuine
76,Nivia_Cricket Bat_76,Sports,Nivia,amazon,993.19,1.1944,0.125,0.0,0.035,0.4051,Genuine
77,Samsung_Smartphone_77,Electronics,Samsung,amazon,3619.355,1.1309,0.625,0.0,0.0168,0.3823,Genuine
78,Philips_Chair_78,Home,Philips,amazon,1320.725,1.8248,0.8889,0.0,0.0161,0.368,Suspicious
79,SG_Football_79,Sports,SG,amazon,4006.24,1.341,0.9444,0.0,0.0494,0.3506,Suspicious
80,SG_Dumbbells_80,Sports,SG,amazon,2364.31,1.4944,0.9375,0.0,0.0284,0.5231,Suspicious
81,Adidas_Jacket_81,Fashion,Adidas,amazon,4541.44,2.7524,1.0,0.0,0.0291,0.2482,Suspicious
82,LG_Laptop_82,Electronics,LG,amazon,2814.5249999999996,1.1609,0.6176,0.0,0.0545,0.3907,Genuine
83,SG_Cricket Bat_83,Sports,SG,amazon,1469.8899999999999,1.0592,0.15,0.0,0.0249,0.4081,Genuine
84,Sony_Smartphone_84,Electronics,Sony,amazon,524.6,1.1474,0.3333,0.0,0.0424,0.1801,Genuine
85,Sony_Smartwatch_85,Electronics,Sony,amazon,3586.41,2.1487,0.9231,0.0,0.0092,0.4753,Fake
86,Prestige_Mixer_86,Home,Prestige,amazon,292.28499999999997,1.9599,0.9091,0.0,0.0516,0.1923,Suspicious
87,Nike_T-Shirt_87,Fashion,Nike,amazon,1210.25,1.225,0.0,0.0,0.0356,0.034,Genuine
88,Prestige_Mixer_88,Home,Prestige,amazon,1013.775,1.3157,1.0,0.0,0.0341,0.3624,Suspicious
89,Nivia_Dumbbells_89,Sports,Nivia,amazon,4017.1949999999997,1.2771,0.9615,0.0,0.0384,0.4461,Suspicious
90,Nike_Jacket_90,Fashion,Nike,amazon,3791.47,1.3638,1.0,0.0,0.0558,0.1534,Genuine
91,Prestige_Cookware_91,Home,Prestige,amazon,2996.7200000000003,1.2236,0.7368,0.0,0.06,0.3446,Genuine
92,SG_Football_92,Sports,SG,amazon,1899.6,1.2499,0.75,0.0,0.0164,0.385,Suspicious
93,Prestige_Table_93,Home,Prestige,amazon,3437.4,1.1226,0.8571,0.0,0.0238,0.3217,Suspicious
94,Nike_Jacket_94,Fashion,Nike,amazon,1999.54,2.0914,1.0,0.0,0.0498,0.2914,Suspicious
95,Lakme_Facewash_95,Beauty,Lakme,amazon,2178.66,1.506,0.8065,0.0,0.0564,0.3139,Suspicious
96,Nike_T-Shirt_96,Fashion,Nike,amazon,3483.42,1.196,0.4444,0.0,0.0371,0.3263,Genuine
97,Sony_Laptop_97,Electronics,Sony,amazon,3189.75,2.1148,0.6579,0.0,0.0364,0.4867,Suspicious
98,SG_Dumbbells_98,Sports,SG,amazon,2245.1099999999997,3.7825,1.0,0.0,0.0235,0.414,Fake
99,Lakme_Lipstick_99,Beauty,Lakme,amazon,422.315,2.7081,0.9667,0.0,0.0324,0.3859,Fake
100,Puma_T-Shirt_100,Fashion,Puma,amazon,2539.5299999999997,2.2611,1.0,0.0,0.0509,0.232,Suspicious
101,Maybelline_Lipstick_101,Beauty,Maybelline,amazon,500.58,1.6246,0.8462,0.0,0.0174,0.4328,Suspicious
102,Nike_Jacket_102,Fashion,Nike,amazon,778.125,1.0718,0.8125,0.0,0.0253,0.4283,Genuine
103,Nike_Jeans_103,Fashion,Nike,amazon,3916.54,1.1117,0.8056,0.0,0.0248,0.4115,Genuine
104,Lakme_Perfume_104,Beauty,Lakme,amazon,2331.71,3.6249,0.6,0.0,0.0147,0.4904,Suspicious
105,Prestige_Table_105,Home,Prestige,amazon,3824.3,1.1898,0.25,0.0,0.0236,0.5498,Genuine
106,Prestige_Mixer_106,Home,Prestige,amazon,3564.8450000000003,1.1433,0.1,0.0,0.0116,0.232,Genuine
107,Lakme_Perfume_107,Beauty,Lakme,amazon,3836.04,1.0776,0.8108,0.0,0.0268,0.5656,Suspicious
108,SG_Football_108,Sports,SG,amazon,1558.65,3.4286,1.0,0.0,0.0241,0.5022,Fake
109,SG_Cricket Bat_109,Sports,SG,amazon,4401.3,1.4546,1.0,0.0,0.0325,0.4889,Suspicious
110,Lakme_Facewash_110,Beauty,Lakme,amazon,3242.89,1.1361,0.0909,0.0,0.0297,0.3355,Genuine
111,Nivia_Cricket Bat_111,Sports,Nivia,amazon,4596.61,1.1082,0.3636,0.0,0.0298,0.421,Genuine
112,Samsung_Smartphone_112,Electronics,Samsung,amazon,4099.27,3.9921,0.8462,0.0,0.0203,0.4755,Suspicious
113,Nivia_Dumbbells_113,Sports,Nivia,amazon,1055.53,1.0792,0.1667,0.0,0.015,0.5499,Genuine
114,SG_Cricket Bat_114,Sports,SG,amazon,3949.07,1.1137,0.1176,0.0,0.0291,0.444,Genuine
115,Puma_Jeans_115,Fashion,Puma,amazon,4265.8150000000005,3.1675,0.5,0.0,0.0189,0.4342,Suspicious
116,Nivia_Dumbbells_116,Sports,Nivia,amazon,2725.5950000000003,1.2926,0.7857,0.0,0.0172,0.4019,Genuine
117,Nivia_Cricket Bat_117,Sports,Nivia,amazon,1704.03,1.6926,0.7742,0.0,0.053,0.3875,Suspicious
118,Maybelline_Lipstick_118,Beauty,Maybelline,amazon,507.28999999999996,1.1403,0.8438,0.0,0.05,0.3756,Genuine
119,SG_Football_119,Sports,SG,amazon,4135.15,1.1416,0.5,0.0,0.0329,0.4429,Genuine
120,Samsung_Smartphone_120,Electronics,Samsung,amazon,3661.16,1.1369,0.6875,0.0,0.0162,0.426,Genuine
121,Philips_Mixer_121,Home,Philips,amazon,1218.67,1.4692,1.0,0.0,0.0259,0.51,Suspicious
122,Apple_Laptop_122,Electronics,Apple,amazon,3103.41,1.4419,0.76,0.0,0.0329,0.5205,Suspicious
123,Lakme_Lipstick_123,Beauty,Lakme,amazon,2013.96,1.1476,0.8438,0.0,0.0404,0.5525,Suspicious
124,Apple_Smartphone_124,Electronics,Apple,amazon,2902.29,1.1338,0.1333,0.0,0.0161,0.4734,Genuine
125,Sony_Smartwatch_125,Electronics,Sony,amazon,386.255,1.4429,0.9286,0.0,0.0179,0.4482,Suspicious
126,Nivia_Football_126,Sports,Nivia,amazon,3293.035,1.0617,0.2857,0.0,0.032,0.5373,Genuine
127,Lakme_Facewash_127,Beauty,Lakme,amazon,499.435,1.2339,0.3333,0.0,0.0639,0.5327,Genuine
128,SG_Football_128,Sports,SG,amazon,4325.985000000001,1.22,0.9167,0.0,0.0299,0.479,Suspicious
129,Maybelline_Facewash_129,Beauty,Maybelline,amazon,2527.965,1.0428,0.7812,0.0,0.0221,0.4937,Genuine
130,Prestige_Mixer_130,Home,Prestige,amazon,3603.955,1.9191,1.0,0.0,0.034,0.215,Suspicious
131,Lakme_Lipstick_131,Beauty,Lakme,amazon,3089.8199999999997,1.3794,0.8,0.0,0.0515,0.4426,Genuine
132,Maybelline_Facewash_132,Beauty,Maybelline,amazon,4629.4,1.126,0.5,0.0,0.0338,0.282,Genuine
133,Lakme_Lipstick_133,Beauty,Lakme,amazon,2986.12,1.5091,1.0,0.0,0.0209,0.3604,Suspicious
134,Nike_Jacket_134,Fashion,Nike,amazon,2739.36,2.6545,1.0,0.0,0.0335,0.3614,Fake
135,Prestige_Cookware_135,Home,Prestige,amazon,1199.635,1.1436,0.8889,0.0,0.02,0.148,Genuine
136,Maybelline_Perfume_136,Beauty,Maybelline,amazon,2436.7,1.0717,0.4348,0.0,0.0275,0.4237,Genuine
137,Nivia_Football_137,Sports,Nivia,amazon,4163.665000000001,2.1192,0.1538,0.0,0.0341,0.4292,Suspicious
138,Puma_Jeans_138,Fashion,Puma,amazon,1023.4,1.1208,0.4762,0.0,0.0201,0.4079,Genuine
139,Prestige_Table_139,Home,Prestige,amazon,4035.2299999999996,1.2921,0.875,0.0,0.0315,0.5584,Suspicious
140,SG_Dumbbells_140,Sports,SG,amazon,3804.4300000000003,1.1467,0.0,0.0,0.0197,0.0297,Genuine
141,Nike_T-Shirt_141,Fashion,Nike,amazon,4527.43,1.2573,0.3939,0.0,0.0341,0.2794,Genuine
142,Puma_Jacket_142,Fashion,Puma,amazon,1262.415,1.2854,1.0,0.0,0.0152,0.3456,Suspicious
143,Lakme_Perfume_143,Beauty,Lakme,amazon,3304.6949999999997,4.471,1.0,0.0,0.0719,0.3569,Fake
144,Prestige_Table_144,Home,Prestige,amazon,1670.73,1.4519,1.0,0.0,0.0333,0.2939,Genuine
145,Philips_Cookware_145,Home,Philips,amazon,1458.405,1.1571,0.1429,0.0,0.0423,0.4857,Genuine
146,Adidas_Jacket_146,Fashion,Adidas,amazon,1359.28,1.4794,1.0,0.0,0.0263,0.3003,Suspicious
147,Adidas_T-Shirt_147,Fashion,Adidas,amazon,1389.07,1.0833,0.68,0.0,0.0184,0.4548,Genuine
148,Apple_Laptop_148,Electronics,Apple,amazon,4128.085,1.0519,0.0385,0.0,0.0335,0.3154,Genuine
149,LG_Laptop_149,Electronics,LG,amazon,4241.68,1.5241,0.9474,0.0,0.0334,0.3287,Suspicious
150,Sony_Laptop_150,Electronics,Sony,amazon,1411.55,2.9104,1.0,0.0,0.0191,0.3407,Fake
151,Samsung_Smartphone_151,Electronics,Samsung,amazon,4918.79,1.0952,0.1333,0.0,0.0129,0.3688,Genuine
152,Philips_Mixer_152,Home,Philips,amazon,550.635,4.1313,1.0,0.0,0.0526,0.3968,Fake
153,Nivia_Dumbbells_153,Sports,Nivia,amazon,2957.75,0.9519,0.1714,0.0,0.0578,0.1232,Genuine
154,LG_Smartwatch_154,Electronics,LG,amazon,2862.73,2.4921,0.25,0.0,0.0249,0.5109,Suspicious
155,Nike_T-Shirt_155,Fashion,Nike,amazon,1336.135,1.1209,0.3846,0.0,0.0168,0.4938,Genuine
156,Prestige_Mixer_156,Home,Prestige,amazon,3323.41,1.1506,0.2414,0.0,0.0157,0.1767,Genuine
157,SG_Dumbbells_157,Sports,SG,amazon,487.705,1.1824,0.2,0.0,0.038,0.5284,Genuine
158,Philips_Cookware_158,Home,Philips,amazon,4838.1,1.1109,0.4722,0.0,0.042,0.3323,Genuine
159,Maybelline_Lipstick_159,Beauty,Maybelline,amazon,320.79,2.4933,1.0,0.0,0.0227,0.3764,Fake
160,Adidas_T-Shirt_160,Fashion,Adidas,amazon,4030.715,1.9845,1.0,0.0,0.0249,0.3611,Suspicious
161,Puma_Jacket_161,Fashion,Puma,amazon,663.73,4.1567,1.0,0.0,0.0422,0.3178,Fake
162,Nike_Jacket_162,Fashion,Nike,amazon,3801.56,1.2801,0.6875,0.0,0.0209,0.4433,Genuine
163,LG_Laptop_163,Electronics,LG,amazon,1501.69,3.4977,1.0,0.0,0.0201,0.2508,Suspicious
164,Sony_Smartwatch_164,Electronics,Sony,amazon,5078.56,1.1674,0.8966,0.0,0.0339,0.4463,Suspicious
165,Puma_T-Shirt_165,Fashion,Puma,amazon,601.085,1.2246,0.8947,0.0,0.0297,0.4435,Suspicious
166,Nivia_Cricket Bat_166,Sports,Nivia,amazon,4373.1849999999995,2.5285,1.0,0.0,0.0629,0.4824,Fake
167,Philips_Table_167,Home,Philips,amazon,3373.96,1.5951,0.7692,0.0,0.009,0.2614,Genuine
168,Nivia_Cricket Bat_168,Sports,Nivia,amazon,3905.19,1.156,0.7436,0.0,0.0357,0.5063,Suspicious
169,Nivia_Cricket Bat_169,Sports,Nivia,amazon,2498.6949999999997,1.3314,0.6154,0.0,0.0359,0.4872,Genuine
170,Philips_Chair_170,Home,Philips,amazon,3308.745,1.3968,0.8125,0.0,0.0503,0.255,Genuine
171,Maybelline_Lipstick_171,Beauty,Maybelline,amazon,1385.76,1.0709,0.1818,0.0,0.0108,0.6504,Genuine
172,Adidas_T-Shirt_172,Fashion,Adidas,amazon,3289.2650000000003,1.6605,1.0,0.0,0.0236,0.3169,Suspicious
173,LG_Smartwatch_173,Electronics,LG,amazon,4913.59,1.0703,0.5625,0.0,0.0144,0.5096,Genuine
174,LG_Smartphone_174,Electronics,LG,amazon,1778.175,1.383,0.7647,0.0,0.1147,0.4448,Genuine
175,Prestige_Cookware_175,Home,Prestige,amazon,330.28,1.8039,0.9474,0.0,0.0261,0.3564,Suspicious
176,Puma_T-Shirt_176,Fashion,Puma,amazon,3432.365,1.2398,0.1875,0.0,0.0584,0.5349,Genuine
177,Puma_Jeans_177,Fashion,Puma,amazon,3681.435,1.4373,1.0,0.0,0.0351,0.2787,Genuine
178,Lakme_Perfume_178,Beauty,Lakme,amazon,3435.69,2.4395,1.0,0.0,0.0296,0.3868,Fake
179,Puma_Jacket_179,Fashion,Puma,amazon,2189.31,1.7966,1.0,0.0,0.0191,0.3752,Suspicious
180,Samsung_Smartwatch_180,Electronics,Samsung,amazon,3367.77,1.1834,0.9231,0.0,0.0231,0.4186,Suspicious
181,Prestige_Cookware_181,Home,Prestige,amazon,1241.73,1.5197,1.0,0.0,0.016,0.2561,Suspicious
182,Nivia_Football_182,Sports,Nivia,amazon,5064.18,1.3202,0.8,0.0,0.0355,0.0872,Genuine
183,Puma_Shoes_183,Fashion,Puma,amazon,4169.2,1.2237,0.8,0.0,0.0419,0.3687,Genuine
184,Prestige_Mixer_184,Home,Prestige,amazon,1848.56,1.2809,0.7778,0.0,0.0817,0.4661,Genuine
185,Maybelline_Facewash_185,Beauty,Maybelline,amazon,3831.495,1.0121,0.3947,0.0,0.0628,0.3485,Genuine
186,SG_Cricket Bat_186,Sports,SG,amazon,505.315,2.1706,1.0,0.0,0.0232,0.3796,Fake
187,Lakme_Lipstick_187,Beauty,Lakme,amazon,3002.62,1.1121,0.3784,0.0,0.041,0.4991,Genuine
188,Lakme_Perfume_188,Beauty,Lakme,amazon,4172.83,1.392,0.7,0.0,0.0108,0.4254,Genuine
189,Sony_Headphones_189,Electronics,Sony,amazon,2192.87,1.396,0.7917,0.0,0.0232,0.3096,Genuine
190,Prestige_Chair_190,Home,Prestige,amazon,4720.105,3.6476,0.2188,0.0,0.0238,0.375,Suspicious
191,SG_Dumbbells_191,Sports,SG,amazon,2501.34,2.4602,0.4194,0.0,0.0582,0.497,Suspicious
192,Nivia_Cricket Bat_192,Sports,Nivia,amazon,2370.865,2.1652,1.0,0.0,0.0219,0.4713,Fake
193,Maybelline_Facewash_193,Beauty,Maybelline,amazon,3175.75,3.2027,1.0,0.0,0.0104,0.338,Fake
194,Nivia_Dumbbells_194,Sports,Nivia,amazon,2069.4449999999997,4.549,1.0,0.0,0.026,0.4379,Fake
195,Sony_Smartphone_195,Electronics,Sony,amazon,3159.49,1.1581,0.9444,0.0,0.0389,0.5082,Suspicious
196,Prestige_Mixer_196,Home,Prestige,amazon,3482.3599999999997,1.1429,0.7222,0.0,0.045,0.3352,Genuine
197,Philips_Chair_197,Home,Philips,amazon,1144.13,3.0238,0.25,0.0,0.0603,0.5549,Suspicious
198,Nike_Jacket_198,Fashion,Nike,amazon,1688.68,3.1449,1.0,0.0,0.02,0.2966,Suspicious
199,SG_Cricket Bat_199,Sports,SG,amazon,1459.28,4.2519,1.0,0.0,0.0229,0.4538,Fake
200,Philips_Chair_200,Home,Philips,amazon,1742.165,1.1704,0.3571,0.0,0.0432,0.2843,Genuine
201,LG_Laptop_201,Electronics,LG,amazon,795.63,1.4611,0.9355,0.0,0.0625,0.3993,Suspicious
202,Sony_Smartwatch_202,Electronics,Sony,amazon,2886.47,1.0593,0.4,0.0,0.0217,0.5106,Genuine
203,Nivia_Football_203,Sports,Nivia,amazon,4214.6,1.105,0.4,0.0,0.0229,0.5651,Genuine
204,Nivia_Cricket Bat_204,Sports,Nivia,amazon,953.15,1.0858,0.3939,0.0,0.0325,0.3688,Genuine
205,Nivia_Cricket Bat_205,Sports,Nivia,amazon,442.75,1.2603,0.6857,0.0,0.047,0.4386,Genuine
206,Nivia_Cricket Bat_206,Sports,Nivia,amazon,3948.605,3.758,1.0,0.0,0.0302,0.4508,Fake
207,Maybelline_Perfume_207,Beauty,Maybelline,amazon,3749.725,1.1648,0.1875,0.0,0.0395,0.3706,Genuine
208,Philips_Cookware_208,Home,Philips,amazon,1710.33,1.214,0.2703,0.0,0.0613,0.4925,Genuine
209,Prestige_Chair_209,Home,Prestige,amazon,1617.885,1.0763,0.3056,0.0,0.0358,0.3886,Genuine
210,Apple_Headphones_210,Electronics,Apple,amazon,980.42,1.1641,0.2593,0.0,0.0512,0.4998,Genuine
211,SG_Football_211,Sports,SG,amazon,4353.9,1.4805,0.5882,0.0,0.0217,0.3621,Genuine
212,Philips_Mixer_212,Home,Philips,amazon,1500.78,1.2311,0.5484,0.0,0.0386,0.2255,Genuine
213,Samsung_Smartwatch_213,Electronics,Samsung,amazon,4177.975,1.1022,0.1429,0.0,0.0478,0.4152,Genuine
214,Philips_Mixer_214,Home,Philips,amazon,3220.7,1.0784,0.6923,0.0,0.0211,0.3637,Suspicious
215,Maybelline_Perfume_215,Beauty,Maybelline,amazon,2732.26,3.3116,0.7812,0.0,0.0221,0.4983,Suspicious
216,LG_Smartphone_216,Electronics,LG,amazon,3069.41,1.0438,0.6429,0.0,0.0368,0.4505,Genuine
217,Nike_Shoes_217,Fashion,Nike,amazon,3439.52,1.4756,1.0,0.0,0.0237,0.367,Suspicious
218,Puma_Jacket_218,Fashion,Puma,amazon,4455.385,1.2535,0.8529,0.0,0.0517,0.4467,Suspicious
219,Philips_Chair_219,Home,Philips,amazon,4730.405000000001,1.1701,0.4375,0.0,0.0222,0.514,Genuine
220,Maybelline_Perfume_220,Beauty,Maybelline,amazon,2049.86,1.3108,0.9524,0.0,0.0497,0.3865,Suspicious
221,Apple_Laptop_221,Electronics,Apple,amazon,624.5250000000001,1.1964,0.9167,0.0,0.0286,0.4704,Suspicious
222,Sony_Laptop_222,Electronics,Sony,amazon,4434.68,1.1024,0.1071,0.0,0.0427,0.2313,Genuine
223,Sony_Smartphone_223,Electronics,Sony,amazon,3672.12,1.2803,0.6471,0.0,0.0117,0.3851,Genuine
224,Prestige_Chair_224,Home,Prestige,amazon,4135.79,1.1208,0.5806,0.0,0.0444,0.215,Genuine
225,Adidas_Jacket_225,Fashion,Adidas,amazon,1123.65,1.7632,1.0,0.0,0.0126,0.2606,Suspicious
226,Puma_Jeans_226,Fashion,Puma,amazon,4027.89,1.2051,0.2174,0.0,0.0353,0.4095,Genuine
227,Lakme_Lipstick_227,Beauty,Lakme,amazon,3760.1800000000003,2.4634,1.0,0.0,0.015,0.3372,Fake
